	Thailand,#genre#
81	MVTV,http://line.premiumpowers.net:80/Pittbull/pittbull/164705
82	MVTV-WSM,http://line.premiumpowers.net:80/Pittbull/pittbull/164704
83	MVTV-VARIETY TV,http://line.premiumpowers.net:80/Pittbull/pittbull/164703
84	MVTV-THAIBAAN,http://line.premiumpowers.net:80/Pittbull/pittbull/164702
85	VTV-TVB DRAMA,http://line.premiumpowers.net:80/Pittbull/pittbull/164701
86	 MVTV-MVM,http://line.premiumpowers.net:80/Pittbull/pittbull/164700
87	 MVTV-MVLAO,http://line.premiumpowers.net:80/Pittbull/pittbull/164699
88	 MVTV-MML,http://line.premiumpowers.net:80/Pittbull/pittbull/164698
89	 MVTV-MIXMAJOR
90	 MVTV-MHONG,http://line.premiumpowers.net:80/Pittbull/pittbull/164696
91	 MVTV-MAJOR,http://line.premiumpowers.net:80/Pittbull/pittbull/164695
92	 MVTV HAPPY TV,http://line.premiumpowers.net:80/Pittbull/pittbull/164694
93	 MVTV FIVE,http://line.premiumpowers.net:80/Pittbull/pittbull/164693
94	 MVTV - ESAN,http://line.premiumpowers.net:80/Pittbull/pittbull/164692
95	 MVTV-DO,http://line.premiumpowers.net:80/Pittbull/pittbull/164691
96	 MVTV-CH6,http://line.premiumpowers.net:80/Pittbull/pittbull/164690
97	 MVTV- 55CH,http://line.premiumpowers.net:80/Pittbull/pittbull/164689
98	 MV LAO,http://line.premiumpowers.net:80/Pittbull/pittbull/164688
99	 MSJ TV KHMER,http://line.premiumpowers.net:80/Pittbull/pittbull/164687
100	 MCOT-FAMILY THAI
101	 MALIMAR LAO AND THAI MUSIC,http://line.premiumpowers.net:80/Pittbull/pittbull/164682
102	 M CHANNEL,http://line.premiumpowers.net:80/Pittbull/pittbull/164681
103	 LS TV 1,http://line.premiumpowers.net:80/Pittbull/pittbull/164680
104	 LOOK THOONG TV
105	 LONE SINH LAO TV,http://line.premiumpowers.net:80/Pittbull/pittbull/164678
106	 LAOS PLANET TV
107	 LAO TV FREE ASIA,http://line.premiumpowers.net:80/Pittbull/pittbull/164676
108	 LAO THAI TV,http://line.premiumpowers.net:80/Pittbull/pittbull/164675
